Мазанка вял том  125;Мазанка вял том  125
Бусидо порк в/с РБ;Бусидо порк в/с РБ
Карбонад Праздничн;Карбонад Праздничн
Пармский новый с/в;Пармский новый с/в
Зельц По-домашнему;Зельц По-домашнему
Зельц Крестьянский;Зельц Крестьянский
Свинина туш ТУ  338;Свинина туш ТУ  338
Индейка в желе  340;Индейка в желе  340
Рате Греческий  100;Рате Греческий  100
Рате Испанский  100;Рате Испанский  100
Мясо оленя ж/б 338;Мясо оленя ж/б 338
нежный с сыром  100;нежный с сыром  100
Сливочная в/с  400;Сливочная в/с  400
Прима нов в/с  500;Прима нов в/с  500
Брезаола Вак. упак.;Брезаола Вак. упак.
Прошутто Вак. упак.;Прошутто Вак. упак.
Сытная н/о мод/ат;Сытная н/о мод/ат
Ливерная Сельская;Ливерная Сельская
Гов.по-деревенски;Гов.по-деревенски
Говяд нежная  338;Говяд нежная  338
Свин в/сНаш смак;Свин в/сНаш смак
Рате Барбекю  100;Рате Барбекю  100
Хэппи Класич  100;Хэппи Класич  100
Европейский один;Европейский один
Сало Фермерское;Сало Фермерское
Сало з кубельца;Сало з кубельца
Сочная в/с  140;Сочная в/с  140
К-са Княжеская;К-са Княжеская
Набор Рате  250;Набор Рате  250
Изысканный  100;Изысканный  100
Медвежье ушко;Медвежье ушко
Флячки в желе;Флячки в желе
Сердце в желе;Сердце в желе
Хуторская 2с;Хуторская 2с
МТекст.Мод.а;МТекст.Мод.а
Молочная В/С;Молочная В/С
Майонез500;Майонез500
Мол500;Мол500
Мол650;Мол650
М500;М500
М600;М600
Изд кол Медовая прем основ;Изд кол Медовая прем основ
